epoch,step,train_acc_step,train_loss_step
0,9,0.4375,2.1284916400909424
0,19,0.5625,2.0498507022857666
0,29,0.5,2.179534912109375
0,39,0.65625,1.8455466032028198
0,49,0.46875,1.9430772066116333
0,59,0.65625,1.6932165622711182
0,69,0.5,1.8483657836914062
0,79,0.46875,2.010706901550293
0,89,0.65625,1.7065379619598389
0,99,0.46875,1.9246069192886353
0,109,0.4375,1.9723917245864868
0,119,0.53125,1.6720073223114014
0,129,0.46875,1.8192025423049927
0,139,0.5,1.786712646484375
0,149,0.53125,1.6580724716186523
0,159,0.625,1.6784685850143433
0,169,0.53125,1.6485846042633057
0,179,0.6875,1.7489782571792603
0,189,0.5625,1.5803180932998657
0,199,0.5,1.735669732093811
0,209,0.5,1.6975243091583252
0,219,0.71875,1.825770616531372
0,229,0.625,2.1168363094329834
0,239,0.5,1.4344576597213745
0,249,0.59375,1.5636568069458008
0,259,0.5,1.6082403659820557
0,269,0.5,1.7355026006698608
0,279,0.5,1.5505402088165283
0,289,0.46875,1.7185105085372925
